date,gamePk,away,home,pick,win_prob,p_home,confidence,top_factor,actual_winner,correct,entry_home_ml,entry_away_ml,entry_p_home_vigfree,close_home_ml,close_away_ml,close_p_home_vigfree,clv,plus_ev,pnl_flat
2026-07-24,822707,Arizona Diamondbacks,Washington Nationals,Washington Nationals,0.599,0.599,moderate,Starting pitching matchup,,,,,,,,,,,
2026-07-24,822872,Seattle Mariners,Texas Rangers,Seattle Mariners,0.511,0.489,slight,Home-field advantage,,,,,,,,,,,
2026-07-24,822952,Cleveland Guardians,Tampa Bay Rays,Tampa Bay Rays,0.628,0.628,strong,Home-field advantage,,,,,,,,,,,
2026-07-24,823031,Cincinnati Reds,St. Louis Cardinals,St. Louis Cardinals,0.676,0.676,strong,Starting pitching matchup,,,,,,,,,,,
2026-07-24,823196,Los Angeles Angels,San Francisco Giants,San Francisco Giants,0.683,0.683,strong,Starting pitching matchup,,,,,,,,,,,
2026-07-24,823352,Chicago Cubs,Pittsburgh Pirates,Pittsburgh Pirates,0.577,0.577,moderate,Home-field advantage,,,,,,,,,,,
2026-07-24,823434,New York Yankees,Philadelphia Phillies,New York Yankees,0.524,0.476,slight,Season performance,,,,,,,,,,,
2026-07-24,823601,Los Angeles Dodgers,New York Mets,Los Angeles Dodgers,0.599,0.401,moderate,Season performance,,,,,,,,,,,
2026-07-24,823680,Athletics,Minnesota Twins,Minnesota Twins,0.672,0.672,strong,Injury report,,,,,,,,,,,
2026-07-24,823759,Colorado Rockies,Milwaukee Brewers,Milwaukee Brewers,0.658,0.658,strong,Starting pitching matchup,,,,,,,,,,,
2026-07-24,823843,San Diego Padres,Miami Marlins,Miami Marlins,0.764,0.764,strong,Starting pitching matchup,,,,,,,,,,,
2026-07-24,824248,Kansas City Royals,Detroit Tigers,Detroit Tigers,0.790,0.790,strong,Starting pitching matchup,,,,,,,,,,,
2026-07-24,824573,Houston Astros,Chicago White Sox,Chicago White Sox,0.723,0.723,strong,Starting pitching matchup,,,,,,,,,,,
2026-07-24,824733,Toronto Blue Jays,Boston Red Sox,Boston Red Sox,0.563,0.563,moderate,Season performance,,,,,,,,,,,
2026-07-24,824812,Atlanta Braves,Baltimore Orioles,Baltimore Orioles,0.528,0.528,slight,Starting pitching matchup,,,,,,,,,,,
